userID,artistID,tagID,day,month,year
0,46,12,1,4,2009
0,46,14,1,4,2009
0,46,17,1,4,2009
0,46,20,1,4,2009
0,46,40,1,4,2009
0,57,12,1,4,2009
0,57,13,1,4,2009
0,57,22,1,4,2009
0,57,39,1,4,2009
0,67,12,1,4,2009
0,67,13,1,4,2009
0,67,14,1,4,2009
0,67,17,1,4,2009
0,67,19,1,4,2009
0,67,20,1,4,2009
0,67,21,1,4,2009
0,67,25,1,4,2009
0,88,12,1,4,2009
0,88,14,1,4,2009
0,88,19,1,4,2009
0,88,20,1,4,2009
0,88,21,1,4,2009
0,88,35,1,4,2009
0,88,36,1,4,2009
0,88,38,1,4,2009
0,90,18,1,4,2009
0,90,23,1,4,2009
0,986,15,1,5,2009
0,986,16,1,5,2009
0,986,23,1,5,2009
0,986,24,1,5,2009
0,986,41,1,5,2009
0,986,42,1,5,2009
0,3818,15,1,5,2009
0,3818,31,1,5,2009
0,3818,32,1,5,2009
0,6035,13,1,5,2009
0,6035,33,1,5,2009
0,6052,12,1,5,2009
0,6052,13,1,5,2009
0,6052,14,1,5,2009
0,6052,19,1,5,2009
0,6052,37,1,5,2009
0,9089,17,1,5,2009
0,9089,34,1,5,2009
1,95,13,1,2,2010
1,95,14,1,3,2009
1,95,32,1,2,2009
1,95,43,1,7,2009
1,95,44,1,7,2009
1,95,45,1,3,2009
1,95,46,1,2,2010
1,95,47,1,8,2009
1,95,48,1,3,2009
1,95,49,1,7,2009
1,95,50,1,8,2009
1,95,51,1,10,2010
1,95,52,1,5,2010
1,95,53,1,9,2009
1,95,54,1,7,2009
1,95,55,1,7,2009
1,95,56,1,3,2010
1,95,57,1,11,2009
1,95,62,1,11,2010
1,95,63,1,8,2010
1,95,64,1,3,2010
1,95,67,1,10,2009
1,95,70,1,2,2010
1,96,13,1,9,2009
1,96,14,1,8,2010
1,96,17,1,9,2009
1,96,32,1,9,2009
1,96,43,1,8,2010
1,96,44,1,8,2010
1,96,45,1,8,2010
1,96,68,1,9,2009
1,100,13,1,11,2010
1,100,32,1,11,2010
